_id,studentName,admissionNo,phoneNo,address,rollNo,belongingClass,belongingSchool,sex
203,ST_S2_C1_4,ST_S2_C1_admn_4,203,ST_S2_C1_addr_4,4,200,101,male
204,ST_S2_C1_5,ST_S2_C1_admn_5,204,ST_S2_C1_addr_5,5,200,101,male
205,ST_S2_C1_6,ST_S2_C1_admn_6,205,ST_S2_C1_addr_6,6,200,101,female
206,ST_S2_C1_7,ST_S2_C1_admn_7,206,ST_S2_C1_addr_7,7,200,101,female
207,ST_S2_C1_8,ST_S2_C1_admn_8,207,ST_S2_C1_addr_8,8,200,101,female
208,ST_S2_C1_9,ST_S2_C1_admn_9,208,ST_S2_C1_addr_9,9,200,101,female
209,ST_S2_C1_10,ST_S2_C1_admn_10,209,ST_S2_C1_addr_10,10,200,101,female
210,ST_S2_C2_1,ST_S2_C2_admin_1,210,ST_S2_C2_addr_1,1,201,101,male
211,ST_S2_C2_2,ST_S2_C2_admin_2,211,ST_S2_C2_addr_2,2,201,101,male
212,ST_S2_C2_3,ST_S2_C2_admin_3,212,ST_S2_C2_addr_3,3,201,101,male
213,ST_S2_C2_4,ST_S2_C2_admin_4,213,ST_S2_C2_addr_4,4,201,101,male
214,ST_S2_C2_5,ST_S2_C2_admin_5,214,ST_S2_C2_addr_5,5,201,101,female
215,ST_S2_C2_6,ST_S2_C2_admin_6,215,ST_S2_C2_addr_6,6,201,101,female
216,ST_S2_C2_7,ST_S2_C2_admin_7,216,ST_S2_C2_addr_7,7,201,101,female
217,ST_S2_C2_8,ST_S2_C2_admin_8,217,ST_S2_C2_addr_8,8,201,101,female
218,ST_S2_C2_9,ST_S2_C2_admin_9,218,ST_S2_C2_addr_9,9,201,101,female
219,ST_S2_C2_10,ST_S2_C2_admin_10,219,ST_S2_C2_addr_10,10,201,101,female
220,ST_S2_C3_1,ST_S2_C3_admin_1,220,ST_S2_C3_addr_1,1,202,101,male
221,ST_S2_C3_2,ST_S2_C3_admin_2,221,ST_S2_C3_addr_2,2,202,101,male
222,ST_S2_C3_3,ST_S2_C3_admin_3,222,ST_S2_C3_addr_3,3,202,101,male
223,ST_S2_C3_4,ST_S2_C3_admin_4,223,ST_S2_C3_addr_4,4,202,101,male
224,ST_S2_C3_5,ST_S2_C3_admin_5,224,ST_S2_C3_addr_5,5,202,101,male
225,ST_S2_C3_6,ST_S2_C3_admin_6,225,ST_S2_C3_addr_6,6,202,101,male
226,ST_S2_C3_7,ST_S2_C3_admin_7,226,ST_S2_C3_addr_7,7,202,101,male
227,ST_S2_C3_8,ST_S2_C3_admin_8,227,ST_S2_C3_addr_8,8,202,101,female
228,ST_S2_C3_9,ST_S2_C3_admin_9,228,ST_S2_C3_addr_9,9,202,101,female
229,ST_S2_C3_10,ST_S2_C3_admin_10,229,ST_S2_C3_addr_10,10,202,101,female
300,ST_S3_C1_1,ST_S3_C1_admn_1,200,ST_S3_C1_addr_1,1,300,102,male
301,ST_S3_C1_2,ST_S3_C1_admn_2,201,ST_S3_C1_addr_2,2,300,102,male
302,ST_S3_C1_3,ST_S3_C1_admn_3,202,ST_S3_C1_addr_3,3,300,102,male
303,ST_S3_C1_4,ST_S3_C1_admn_4,203,ST_S3_C1_addr_4,4,300,102,male
304,ST_S3_C1_5,ST_S3_C1_admn_5,204,ST_S3_C1_addr_5,5,300,102,male
305,ST_S3_C1_6,ST_S3_C1_admn_6,205,ST_S3_C1_addr_6,6,300,102,female
306,ST_S3_C1_7,ST_S3_C1_admn_7,206,ST_S3_C1_addr_7,7,300,102,female
307,ST_S3_C1_8,ST_S3_C1_admn_8,207,ST_S3_C1_addr_8,8,300,102,female
308,ST_S3_C1_9,ST_S3_C1_admn_9,208,ST_S3_C1_addr_9,9,300,102,female
309,ST_S3_C1_10,ST_S3_C1_admn_10,209,ST_S3_C1_addr_10,10,300,102,female
310,ST_S3_C2_1,ST_S3_C2_admin_1,210,ST_S3_C2_addr_1,1,301,102,male
311,ST_S3_C2_2,ST_S3_C2_admin_2,211,ST_S3_C2_addr_2,2,301,102,male
312,ST_S3_C2_3,ST_S3_C2_admin_3,212,ST_S3_C2_addr_3,3,301,102,male
313,ST_S3_C2_4,ST_S3_C2_admin_4,213,ST_S3_C2_addr_4,4,301,102,male
314,ST_S3_C2_5,ST_S3_C2_admin_5,214,ST_S3_C2_addr_5,5,301,102,female
315,ST_S3_C2_6,ST_S3_C2_admin_6,215,ST_S3_C2_addr_6,6,301,102,female
316,ST_S3_C2_7,ST_S3_C2_admin_7,216,ST_S3_C2_addr_7,7,301,102,female
317,ST_S3_C2_8,ST_S3_C2_admin_8,217,ST_S3_C2_addr_8,8,301,102,female
318,ST_S3_C2_9,ST_S3_C2_admin_9,218,ST_S3_C2_addr_9,9,301,102,female
319,ST_S3_C2_10,ST_S3_C2_admin_10,219,ST_S3_C2_addr_10,10,301,102,female
320,ST_S3_C3_1,ST_S3_C3_admin_1,220,ST_S3_C3_addr_1,1,302,102,male
321,ST_S3_C3_2,ST_S3_C3_admin_2,221,ST_S3_C3_addr_2,2,302,102,male
322,ST_S3_C3_3,ST_S3_C3_admin_3,222,ST_S3_C3_addr_3,3,302,102,male
323,ST_S3_C3_4,ST_S3_C3_admin_4,223,ST_S3_C3_addr_4,4,302,102,male
324,ST_S3_C3_5,ST_S3_C3_admin_5,224,ST_S3_C3_addr_5,5,302,102,male
325,ST_S3_C3_6,ST_S3_C3_admin_6,225,ST_S3_C3_addr_6,6,302,102,male
326,ST_S3_C3_7,ST_S3_C3_admin_7,226,ST_S3_C3_addr_7,7,302,102,male
327,ST_S3_C3_8,ST_S3_C3_admin_8,227,ST_S3_C3_addr_8,8,302,102,female
328,ST_S3_C3_9,ST_S3_C3_admin_9,228,ST_S3_C3_addr_9,9,302,102,female
329,ST_S3_C3_10,ST_S3_C3_admin_10,229,ST_S3_C3_addr_10,10,302,102,female
